A15283701,고척경남1차,서울특별시 구로구 경인로47길 150,구로구,고척동,226259294,경남건설,94,69,0,136,126.8627712,37.5052906,
A13114201,묵동동구햇살,서울특별시 중랑구 동일로169길 41,중랑구,묵동,29499031,동구건설,0,163,0,185,127.0747746,37.613353,
A15602001,대방경남아너스빌,서울특별시 동작구 여의대방로54길 6,동작구,대방동,28242225,경남기업,0,163,0,188,126.9256082,37.5116136,
A15704001,염창2차한화꿈에그린,서울특별시 강서구 공항대로63길 16,강서구,염창동,236627343,한화건설,51,112,0,182,126.8668736,37.5515337,
A13508002,역삼경남,서울특별시 강남구 언주로85길 13,강남구,역삼동,25080500,경남기업,0,164,0,183,127.0423208,37.5005747,
A15780701,가양중앙하이츠,서울특별시 강서구 허준로 55-20,강서구,가양동,236648542,중앙건설(주),0,0,164,324,126.8492901,37.5698077,
A15086001,보라매두산위브,서울특별시 영등포구 여의대방로9길 5,영등포구,신길동,28360385,두산건설(주),0,104,0,253,126.9144293,37.4972694,
A13120701,용마산금호어울림,서울특별시 중랑구 용마산로 290,중랑구,면목동,24321717,금호건설,0,153,12,201,127.091721,37.5770579,
A15086201,양평서통한신,서울특별시 영등포구 영등포로12길 7,영등포구,양평동1가,226325674,한신공영(주),75,52,38,208,126.8878466,37.5216885,
A13983801,대망드림힐,서울특별시 노원구 동일로242라길 27,노원구,상계동,233911589,(주)대망종합건설,0,127,38,193,127.0584516,37.6763152,
A15208201,고척양우,서울특별시 구로구 고척로52길 9,구로구,고척동,226171305,양우종합건설,86,79,0,169,126.8566086,37.504745,
A12181101,동양엔파트,서울특별시 마포구 백범로 82,마포구,대흥동,27013261,동양메이저(주),0,165,0,196,126.9406061,37.5479468,
A13882401,문정푸르지오2차,서울특별시 송파구 송이로32길 37,송파구,문정동,24072178,(주)대우,53,112,0,188,127.1270852,37.4867371,
A13707002,아남,서울특별시 서초구 사임당로23길 53,서초구,서초동,25886061,아남건설주식회사,0,166,0,0,127.020739,37.4929518,
A15009502,문래현대3차,서울특별시 영등포구 선유서로 6,영등포구,문래동5가,226714245,현대건설(주),0,166,0,102,126.8844422,37.5161019,
A15283803,구로금호어울림,서울특별시 구로구 공원로 26,구로구,구로동,28559845,금호건설,83,83,0,121,126.8919875,37.5000583,
A13790703,잠원신화,서울특별시 서초구 잠원로14길 54,서초구,잠원동,234770905,신화건설,84,82,0,167,127.0136875,37.5157083,
A13887901,송파현대힐스테이트,서울특별시 송파구 풍성로26길 31,송파구,풍납동,24722760,현대건설(주),12,106,48,226,127.1184957,37.5311152,
A15704002,염창 일신건영휴먼빌아파트,서울특별시 강서구 양천로71가길 22,강서구,염창동,236611644,일신건영(주),14,152,0,187,126.8731713,37.5520432,
A15284101,구로2차순영웰라이빌,서울특별시 구로구 가마산로 280,구로구,구로동,28303312,순영종합건설(주),0,166,0,194,126.891625,37.4960263,
A13008001,신이문금호어울림,서울특별시 동대문구 신이문로 9,동대문구,이문동,29578558,금호산업,35,131,0,186,127.063182,37.6041205,
A12289401,뉴신사신성,서울특별시 은평구 은평터널로 163,은평구,신사동,23051163,신성건설,0,167,0,137,126.9062236,37.5935011,
A13986701,중계성원2차,서울특별시 노원구 덕릉로89길 8,노원구,중계동,29366742,(주)성원,74,57,36,127,127.0752242,37.6611671,
A13202302,방학극동,서울특별시 도봉구 시루봉로11길 25-5,도봉구,방학동,29561534,극동건설,0,167,0,139,127.0268136,37.6645017,
A14206301,번동동문아파트,서울특별시 강북구 오현로 128,강북구,번동,29800832,동문건설,68,65,34,200,127.0382004,37.6239797,
A13509101,삼성청구타운,서울특별시 강남구 영동대로128길 5,강남구,삼성동,25164338,청구,0,167,0,0,127.0583783,37.5197827,
A15004101,당산신동아파밀리에,서울특별시 영등포구 영신로33길 3,영등포구,당산동1가,226310470,신동아건설,133,34,0,171,126.9003963,37.519805,
A13704101,반포삼호가든맨션5차,서울특별시 서초구 서초중앙로 242,서초구,반포동,25915141,삼호,0,0,42,252,127.0115013,37.5039415,
A13384301,한양현대아파트,서울특별시 성동구 상원1길 17,성동구,성수동1가,24987789,현대건설(주),74,94,0,168,127.0479977,37.5455297,
A15783701,등촌임광,서울특별시 강서구 등촌로 113,강서구,등촌동,260941524,임광토건,51,83,34,198,126.8633551,37.5404837,
A13790604,잠원동대우아이빌,서울특별시 서초구 신반포로45길 23,서초구,잠원동,234437384,(주)대우,168,0,0,168,127.0183736,37.5113932,
A13184502,면목성원,서울특별시 중랑구 용마산로 278,중랑구,면목동,24924848,성원건설(주),80,59,29,168,127.0907522,37.5774892,
A15704003,염창월드메르디앙,서울특별시 강서구 양천로71길 38,강서구,염창동,236637240,월드건설(주),50,118,0,189,126.8727626,37.5528637,
A13508003,대우디오빌플러스,서울특별시 강남구 강남대로84길 33,강남구,역삼동,220500001,대우건설,168,0,0,0,127.0311179,37.4975858,
A15809401,신월2차보람쉬움,서울특별시 양천구 오목로1길 46,양천구,신월동,260804434,보람건설(주),92,77,0,171,126.8369039,37.5243291,
A13610201,정릉2차대주피오레,서울특별시 성북구 아리랑로19길 86,성북구,정릉동,29138661,대주건설,37,132,0,180,127.008977,37.6018169,
A13309101,신금호두산위브,서울특별시 성동구 행당로 27,성동구,금호동1가,222948547,두산건설,25,121,23,200,127.0223133,37.5559626,
A15883101,신월성원,서울특별시 양천구 곰달래로2길 16,양천구,신월동,226996806,성원건설,75,95,0,145,126.8339527,37.5282122,
A15010301,양평우림루미아트,서울특별시 영등포구 선유로33길 23,영등포구,양평동3가,226332456,우림산업개발(주),48,122,0,181,126.8880477,37.5265939,
A13406002,둔촌동동아,서울특별시 강동구 동남로49길 60-5,강동구,둔촌동,24703336,동아건설,64,106,0,185,127.1458735,37.5331763,
A15784201,등촌현대1차(한마음),서울특별시 강서구 공항대로45길 24,강서구,등촌동,226681494,현대건설,0,170,0,165,126.8553276,37.5559066,
A15722001,방화삼성,서울특별시 강서구 방화대로34길 113,강서구,방화동,226627503,삼성물산,96,74,0,220,126.8221909,37.5721234,
A15009601,문래미원아파트,서울특별시 영등포구 문래로8길 5,영등포구,문래동6가,226321971,미원건설(주),68,66,36,176,126.8864037,37.5198906,
A13381601,마장중앙하이츠,서울특별시 성동구 마장로 262,성동구,마장동,222999779,중앙건설,81,89,0,186,127.039119,37.5654091,
A14005001,청암자이,서울특별시 용산구 삼개로 60,용산구,청암동,27065533,부곡레저,0,0,0,534,126.9467137,37.5351772,
A15807601,목동삼성쉐르빌2차,서울특별시 양천구 목동동로 177,양천구,신정동,226534407,삼성중공업(주),0,0,56,395,126.8704458,37.5216391,
A15108001,남현동한일유앤아이,서울특별시 관악구 남부순환로256라길 25,관악구,남현동,25985718,한일건설,12,140,18,184,126.9735651,37.471705,
A13983101,상계마들,서울특별시 노원구 덕릉로70가길 101,노원구,상계동,29354091,에스에이치공사,170,0,0,51,127.0569566,37.6416927,
A12282201,구산경향파크,서울특별시 은평구 갈현로15길 53,은평구,구산동,23587823,인황건설,0,129,42,190,126.9059489,37.6103948,
